,id,name,city,salary_min,salary_max,salary_currency,metro,experience,skills,specializations,professional_roles,employer,published_at
47,68296066,Главный специалист отдела оценки соответствия и технического аудита,Санкт-Петербург,,95000.0,RUR,Петроградская,От 3 до 6 лет,"['AutoCAD', 'Деловая переписка', 'Контроль качества', 'Английский язык', 'Управление качеством']","['Строительство', 'Инженер', 'Проектирование, Архитектура', 'Конструктор']","Инженер ПТО, инженер-сметчик","ТИТАН-2, холдинг",2022-08-24T09:51:15+0300
48,68116204,Инженер СМК 2 категории / Инженер по качеству 2 категории,Санкт-Петербург,,,,,От 1 года до 3 лет,"['Внутренний аудит', 'Работа в команде', 'Английский язык', 'ISO 9001:2008', 'Управление качеством', 'СМК']","['Розничная торговля', 'Прямые продажи', 'Менеджер по работе с клиентами', 'Начальный уровень, Мало опыта', 'Продажи']",Другое,НИИЭФА им. Д.В. Ефремова,2022-08-22T10:42:50+0300
49,67749301,Менеджер по качеству исследовательской лаборатории,Санкт-Петербург,,,,,От 3 до 6 лет,"['Внутренний контроль', 'Химические методы анализа', 'Лабораторная работа', 'Контроль качества', 'Работа с базами данных']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,ESTEL,2022-08-26T16:24:26+0300
50,68926319,Специалист по контролю качества,Санкт-Петербург,,,,,От 1 года до 3 лет,"['Работа в команде', 'MS Outlook', 'Деловая переписка', 'Контроль качества', 'Деловое общение']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Ozon,2022-08-18T14:04:16+0300
51,68941044,Заместитель начальника отдела стандартизации и сертификации,Санкт-Петербург,,,,,От 3 до 6 лет,"['Управление качеством', 'Сертификация', 'Внутренний аудит', 'ISO 9001:2008']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,Газпром стройТЭК,2022-08-18T18:15:58+0300
52,69094053,Главный технолог,Санкт-Петербург,,,,,Более 6 лет,"['Контроль качества', 'Управление качеством', 'Управление производством', 'Технология производства', 'Технический контроль производства']","['Технолог, Производство и переработка зерновых', 'Технолог, Производство сахара', 'Метролог', 'Технолог', 'Технолог, Мясо- и птицепереработка']",Инженер-технолог,Агро-Спутник,2022-08-26T15:15:19+0300
53,68847584,Директор по качеству фармацевтического производства ТЛФ,Санкт-Петербург,300000.0,,RUR,,От 3 до 6 лет,"['Деловая коммуникация', 'Английский язык (Upper-Intermediate)', 'Quality Management', 'eQMS', 'Quality Head', 'Управление качеством', 'Обеспечение качества', 'Контроль качества', 'Quality Control', 'Твердые лекарственные формы', 'Решение 77 ЕАЭС', 'GMP (Good Manufacturing Practice)', 'CAPA', 'Контроль изменений', 'Обучение персонала', 'Анализ рисков']","['Розничная торговля', 'Прямые продажи', 'Менеджер по работе с клиентами', 'Начальный уровень, Мало опыта', 'Продажи']",Другое,Alta Personnel,2022-08-16T15:43:12+0300
54,68934732,Инженер отдела качества,Санкт-Петербург,60000.0,,RUR,,От 1 года до 3 лет,"['Контроль качества', 'Пользователь ПК', 'Работа с большим объемом информации', 'Грамотная речь', 'Рекламации', 'СМК']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,ЛЛС,2022-08-18T16:21:48+0300
55,68880596,Инженер СМК (Отдел технического контроля и Системы менеджмента качества),Санкт-Петербург,60000.0,,RUR,,От 3 до 6 лет,"['Контроль качества', 'Работа с большим объемом информации', 'Управление качеством', 'Internet', 'Аналитическое мышление', 'ГОСТы']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,СПО Арктика,2022-08-17T12:35:26+0300
56,68856866,Руководитель испытательной лаборатории,Санкт-Петербург,100000.0,,RUR,,От 3 до 6 лет,[],"['Химическая промышленность', 'Пищевая промышленность', 'Инженер', 'Контроль качества', 'Лаборант']","Научный специалист, исследователь, лаборант",Росэксперт,2022-08-16T21:02:24+0300
57,68347787,Младший инженер по качеству,Санкт-Петербург,,,,,Нет опыта,"['Грамотная речь', 'Управление качеством', 'Работа с документами', 'Деловое общение', 'Ориентация на результат', 'Ведение переговоров', 'Пользователь ПК', 'Сертификация', 'ISO 9001:2008', '1С: Документооборот']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,РЭС ИНЖИНИРИНГ,2022-08-16T16:14:09+0300
58,68906176,Специалист по СМК (производство),Санкт-Петербург,65000.0,,RUR,Рыбацкое,От 1 года до 3 лет,"['Написание процедур', 'Внутренний аудит', 'Ориентация на результат', 'Контроль качества', 'Работа с большим объемом информации', 'Управление качеством']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,НПП ОРИОН,2022-08-18T08:51:09+0300
59,68490341,Директор по производству,Санкт-Петербург,,,,,От 1 года до 3 лет,[],"['Машиностроение', 'Управление проектами', 'Руководство предприятием', 'Управление цехом', 'Производство, Технология']",Начальник производства,Глобус элит,2022-08-25T17:24:33+0300
60,68779063,Старший инженер/заместитель начальника отдела управления качеством,Санкт-Петербург,80000.0,100000.0,RUR,Московские ворота,От 3 до 6 лет,"['Redmine', 'ГОСТ', 'Управление качеством', 'ЕСКД', 'Работа в команде', 'Техническая документация', 'Тестирование', 'Грамотная речь', 'Сертификация', 'Организация рабочего процесса', 'Ответственность за результат', 'Организаторские навыки', 'Систематизация архивной документации', 'Управление персоналом', 'Деловое общение', 'Планирование', 'Работа в условиях многозадачности', 'Опыт руководства', 'Испытания', 'Деловая переписка', 'СМК', 'ГОСТ РВ', 'ЕСПД', 'ИСО 9001', 'Разработка конструкторской документации', 'Разработка технической документации', 'Эксплуатационные документы', 'Продвинутый пользователь ПК']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,"НЕОТЕК МАРИН, ИК",2022-08-15T11:12:11+0300
61,66530404,Менеджер / инженер по качеству,Санкт-Петербург,80000.0,,RUR,,От 3 до 6 лет,"['Управление качеством', 'Контроль качества', 'Написание процедур', 'ISO 9001:2008', 'Бережливое производство']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,РОЛТЭК,2022-08-15T08:41:02+0300
62,69053936,Инженер ОТК,Санкт-Петербург,45000.0,,RUR,Технологический институт,От 1 года до 3 лет,"['Контроль качества', 'Техническое обслуживание', 'Разработка инструкций', 'Технический контроль производства', 'Управление качеством']","['Технолог, Производство и переработка зерновых', 'Технолог, Производство сахара', 'Метролог', 'Технолог', 'Технолог, Мясо- и птицепереработка']",Инженер-технолог,Адванст Мобилити Солюшинз,2022-08-25T18:24:42+0300
63,68347413,Инженер по качеству оборудования для АЭС,Санкт-Петербург,,,,,От 1 года до 3 лет,"['Грамотная речь', 'Управление качеством', 'Работа с документами', 'Деловое общение', 'Ориентация на результат', 'Ведение переговоров', 'Пользователь ПК', 'Сертификация']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,РЭС ИНЖИНИРИНГ,2022-08-16T16:14:12+0300
64,68499911,Инженер по качеству,Санкт-Петербург,45000.0,,RUR,,От 3 до 6 лет,"['Контроль качества', 'Управление качеством', 'СМК']","['Машиностроение', 'Пищевая промышленность', 'Инженер', 'Сертификация', 'Контроль качества']",Инженер по качеству,НПП Сигнал,2022-08-17T08:00:20+0300
